Movie,Release,id_genre,id_distributor,Gross
Swiss Army Man,2016-06-24,gen3,dist34,4210454.0
Denial,2016-09-30,gen3,dist61,4073448.0
Morgan,2016-09-02,gen5,dist5,3913651.5
Kabali,2016-07-21,gen2,dist340,3903095.0
The Man Who Knew Infinity,2016-04-29,gen3,dist31,3877922.0
Where to Invade Next,2015-12-23,gen10,dist166,3827261.0
Max Steel,2016-10-14,gen2,dist29,3818664.0
Batman: The Killing Joke,2016-07-25,gen2,dist85,3775000.0
Midnight Special,2016-03-18,gen3,dist2,3712282.0
Rules Don’t Apply,2016-11-23,gen7,dist5,3652206.0
Miss Sloane,2016-11-25,gen3,dist105,3500605.0
Indignation,2016-07-29,gen3,dist38,3401155.0
Everybody Wants Some,2016-03-30,gen4,dist6,3400278.0
Maggie’s Plan,2016-05-20,gen4,,3351735.0
Sing Street,2016-04-15,gen8,dist14,3237118.0
Green Room,2016-04-15,gen6,dist34,3220371.0
The Eagle Huntress,2016-11-02,gen10,,3168664.0
Our Kind of Traitor,2016-07-01,gen5,dist38,3153157.0
Compadres,2016-04-22,gen4,dist7,3116521.0
The Other Side of the Door,2016-03-04,gen6,dist5,3000342.0
Anthropoid,2016-08-12,gen5,dist61,2961459.0
The Beatles: Eight Days a Week,2016-09-16,gen10,dist203,2934445.0
2016 Oscar Shorts,2016-01-29,gen13,dist223,2816816.0
Yip Man 3,2016-01-22,gen2,dist10,2679437.0
Miles Ahead,2016-04-01,gen3,,2610896.0
Kapoor & Sons,2016-03-18,gen4,dist63,2607036.0
The Disappointments Room,2016-09-09,gen6,dist25,2423467.0
Hillsong: Let Hope Rise,2016-09-16,gen10,,2394725.0
Elle,2016-11-11,gen3,,2339735.0
A Aa,2016-06-01,gen7,dist212,2313043.0
Paterson,2016-12-28,gen4,dist61,2141423.0
I’m Not Ashamed,2016-10-21,gen3,,2082980.0
A Bigger Splash,2016-05-04,gen3,dist15,2024099.0
