Rank,Movie,Distributor,Domestic,Opening,Max
117,The Motorcycle Diaries,Focus Fea…,"$16,756,372","$159,819",272
118,Catch That Kid,20th Cent…,"$16,703,799","$5,824,860","2,848"
119,The Whole Ten Yards,Warner Bros.,"$16,323,969","$6,685,381","2,654"
120,Paparazzi,20th Cent…,"$15,712,072","$6,146,262","2,153"
121,The Girl Next Door,20th Cent…,"$14,589,444","$6,003,806","2,148"
122,Welcome to Mooseport,20th Cent…,"$14,469,428","$6,775,132","2,868"
123,Godsend,Lionsgate,"$14,334,645","$6,800,617","2,323"
124,Dirty Dancing Havana Nights,Lionsgate,"$14,140,215","$5,811,325","2,042"
125,New York Minute,Warner Bros.,"$14,018,364","$5,962,106","3,006"
126,Soul Plane,MGM,"$13,922,211","$5,648,486","1,566"
127,Envy,Dreamwork…,"$13,548,322","$6,160,886","2,445"
128,Shaun of the Dead,Focus/Rog…,"$13,542,874","$3,330,781",675
129,Alfie,Paramount…,"$13,395,939","$6,218,335","2,215"
130,De-Lovely,MGM,"$13,337,299",,410
131,Wicker Park,MGM,"$13,001,257","$5,467,281","2,598"
132,I Heart Huckabees,Fox Searc…,"$12,784,713","$292,177",901
133,Breakin' All the Rules,20th Cent…,"$12,232,382","$5,088,577","1,318"
134,Chasing Liberty,Warner Bros.,"$12,189,514","$6,081,483","2,400"
135,The Cookout,Lionsgate,"$11,540,112","$5,000,900","1,303"
136,Super Size Me,IDP Distr…,"$11,529,368","$516,641",230
137,Surviving Christmas,Dreamwork…,"$11,198,345","$4,441,356","2,755"
138,House of Flying Daggers,Sony Pict…,"$11,050,094","$397,472","1,189"
139,What the #$'! Do We Know,Captured …,"$10,941,801",,146
140,Raise Your Voice,New Line,"$10,411,980","$4,022,693","2,521"
141,The Perfect Score,Paramount…,"$10,387,706","$4,873,819","2,208"
142,Kinsey,Fox Searc…,"$10,214,647","$169,038",588
143,Sleepover,MGM,"$9,408,183","$4,171,226","2,207"
144,Superbabies: Baby Geniuses 2,Sony Pict…,"$9,109,322","$3,251,856","1,276"
145,First Daughter,20th Cent…,"$9,055,010","$4,002,067","2,280"
146,Saved!,MGM,"$8,886,160","$345,136",592
147,Suspect Zero,Paramount…,"$8,712,564","$3,446,375","1,501"
148,Connie and Carla,Universal,"$8,047,525","$3,254,940","1,016"
149,Being Julia,Sony Pict…,"$7,739,049","$101,126",328
150,Woman Thou Art Loosed,Magnolia …,"$6,879,730","$2,325,474",521
151,Thunderbirds,Universal,"$6,768,055","$2,766,810","2,062"
152,Maria Full of Grace,New Line,"$6,529,624","$139,066",127
153,Teacher's Pet: The Movie,Walt Disney,"$6,491,969","$2,461,252","2,027"
154,The Big Bounce,Warner Bros.,"$6,471,394","$3,336,374","2,304"
155,Un long dimanche de fiançailles,Warner Bros.,"$6,167,817","$101,749",219
156,Beyond the Sea,Lionsgate,"$6,144,806","$45,264",383
157,Against the Ropes,Paramount…,"$5,881,504","$3,038,546","1,601"
158,Before Sunset,Warner In…,"$5,792,822","$219,425",203
159,The Clearing,Fox Searc…,"$5,763,875","$469,318",449
160,Never Die Alone,Fox Searc…,"$5,644,575","$3,089,993","1,161"
161,La mala educación,Sony Pict…,"$5,211,842","$147,370",106
162,Birth,New Line,"$5,005,899","$1,705,577",550
163,Club Dread,Fox Searc…,"$5,001,655","$3,035,688","1,807"
164,Touching the Void,IFC Films,"$4,593,598","$96,973",137
165,Spartan,Warner Bros.,"$4,357,745","$2,011,435",832
166,A Day Without a Mexican,Televisa …,"$4,180,870","$619,976",107
167,"Good Bye, Lenin!",Sony Pict…,"$4,063,859","$57,968",116
168,The Door in the Floor,Focus Fea…,"$3,835,551","$456,876",134
169,Benji: Off the Leash!,Benji Ret…,"$3,817,362","$1,512,000",877
170,The Merchant of Venice,Sony Pict…,"$3,765,585","$69,868",107
171,Vera Drake,Fine Line,"$3,753,806","$13,207",97
172,Les Choristes,Miramax,"$3,629,758","$40,027",59
173,The Corporation,Zeitgeist,"$3,493,516",,28
174,Camping Sauvage,Alliance …,"$3,479,302",,81
175,Born Into Brothels: Calcutta's Red Light Kids,ThinkFilm,"$3,430,117","$10,580",127
176,The Work and the Glory,Excel Ent…,"$3,347,647","$251,145",112
177,Veer-Zaara,Yash Raj …,"$2,938,532","$843,010",88
178,Clifford's Really Big Movie,Warner Bros.,"$2,922,354","$657,785",471
179,Monsieur Ibrahim,Sony Pict…,"$2,824,365","$53,174",92
180,Bobby Jones: Stroke of Genius,Film Foundry,"$2,694,071","$1,233,297","1,332"
181,Therese,Luke Films,"$2,627,016","$357,000",51
182,Control Room,Magnolia …,"$2,589,616","$27,125",74
183,The Dreamers,Fox Searc…,"$2,531,462","$142,632",116
184,Bom yeoreum gaeul gyeoul geurigo bom,Sony Pict…,"$2,380,788","$42,561",74
185,Bon Voyage,Sony Pict…,"$2,353,728","$27,480",94
186,Riding Giants,Sony Pict…,"$2,276,368","$134,400",64
187,Dans une galaxie près de chez vous - Le film,Distribut…,"$2,164,047",,74
188,Confidences trop intimes,Paramount…,"$2,106,677","$55,836",94
189,Mar adentro,Fine Line,"$2,086,345","$55,681",99
190,We Don't Live Here Anymore,Warner Bros.,"$2,037,545","$101,295",190
191,Coffee and Cigarettes,MGM,"$1,971,135","$99,162",47
192,The Story of the Weeping Camel,ThinkFilm,"$1,751,698","$21,767",55
193,Main Hoon Na,Eros Ente…,"$1,722,453","$704,651",79
194,Io non ho paura,Miramax,"$1,615,118","$48,292",63
195,The Blue Butterfly,Alliance …,"$1,610,194","$228,509",73
196,The Woodsman,Newmarket…,"$1,566,812","$53,985",84
197,Dogville,Lionsgate,"$1,530,386","$88,855",70
198,A Dirty Shame,Fine Line,"$1,339,668","$29,384",133
199,Saints and Soldiers,Excel Ent…,"$1,310,470","$129,056",37
200,Swades,UTV Commu…,"$1,223,240","$424,804",74
