Rank,Release Group,Worldwide,Domestic,%,Foreign,%
169,Get on Up,"$33,448,971","$30,703,100",91.80%,"$2,745,871",8.20%
170,Girls,"$33,325,338",-,-,"$33,325,338",100%
171,The Crossing,"$32,806,475",-,-,"$32,806,475",100%
172,Old Boys: The Way of the Dragon,"$32,800,000",-,-,"$32,800,000",100%
173,Tinker Bell and the Legend of the NeverBeast,"$31,836,701",-,-,"$31,836,701",100%
174,The Four 3,"$31,521,335",-,-,"$31,521,335",100%
175,Wild Tales,"$31,478,893","$3,106,530",9.90%,"$28,372,363",90.10%
176,Tazza: The Hidden Card,"$31,278,476","$251,555",0.80%,"$31,026,921",99.20%
177,Mrs. Brown's Boys D'Movie,"$31,116,264",-,-,"$31,116,264",100%
178,Rise of the Legend,"$30,932,534",-,-,"$30,932,534",100%
179,Winter's Tale,"$30,800,231","$12,600,231",40.90%,"$18,200,000",59.10%
180,When the Game Stands Tall,"$30,138,754","$30,127,963",100%,"$10,791",<0.1%
181,Draft Day,"$29,824,199","$28,842,237",96.70%,"$981,962",3.30%
182,Big Eyes,"$29,253,166","$14,482,031",49.50%,"$14,771,135",50.50%
183,The Fatal Encounter,"$29,060,186",-,-,"$29,060,186",100%
184,Maya the Bee Movie,"$28,638,603",-,-,"$28,638,603",100%
185,Pokémon the Movie: Diancie and the Cocoon of Destruction,"$28,595,105",-,-,"$28,595,105",100%
186,The Divine Move,"$27,926,871","$136,707",0.50%,"$27,790,164",99.50%
187,Nicholas on Holiday,"$27,567,832",-,-,"$27,567,832",100%
188,Grace of Monaco,"$27,515,247",-,-,"$27,515,247",100%
189,Left Behind,"$27,405,896","$14,019,924",51.20%,"$13,385,972",48.80%
190,Joy of Fatherhood,"$27,088,817",-,-,"$27,088,817",100%
191,A Hard Day,"$26,488,847","$19,004",<0.1%,"$26,469,843",99.90%
192,Top Five,"$26,117,471","$25,317,471",96.90%,"$800,000",3.10%
193,Iceman,"$26,033,917","$7,679",<0.1%,"$26,026,238",100%
194,Meet Miss Anxiety,"$25,948,636",-,-,"$25,948,636",100%
195,"Love, Rosie","$25,574,387","$20,431",<0.1%,"$25,553,956",99.90%
196,A Haunted House 2,"$25,358,716","$17,329,486",68.30%,"$8,029,230",31.70%
197,And So It Goes,"$25,312,387","$15,160,801",59.90%,"$10,151,586",40.10%
198,Kung Fu Jungle,"$24,070,765","$129,784",0.50%,"$23,940,981",99.50%
199,Hot Road,"$22,916,313",-,-,"$22,916,313",100%
200,Fading Gigolo,"$22,706,304","$3,769,873",16.60%,"$18,936,431",83.40%
